ID,System,Item,Quantity,Primary_material_or_technology,Disposition,Confinement_function,Authority,Donor_translation,Qualification_required
FIS-001,Primary field,Main confinement conductor,TBD,Cu-stabilized REBCO coated conductor,KEEP,Direct magnetic field source,Reference candidate,None,Full coil design and irradiation lifetime
FIS-002,Primary field,Conductor stabilizer,TBD,High-purity copper,KEEP,Protects field source during transients,Reference candidate,None,Quench and radiation testing
FIS-003,Primary field,Coil case,TBD,High-strength nonmagnetic steel or qualified composite,KEEP,Maintains coil geometry,Reference candidate,AHIS structural monitoring,Integrated stress FEA
FIS-004,Primary field,Turn insulation,TBD,Ceramic-polymer or all-ceramic radiation-qualified insulation,KEEP,Electrical integrity only,Candidate,None,Cryogenic irradiation qualification
FIS-005,Primary field,Cryostat and thermal shield,TBD,Nonmagnetic stainless and multilayer insulation,KEEP,Cryogenic support only,Candidate,IX-GCR-SPE protected-zone logic,3-D thermal and neutronics model
FIS-006,Primary field,Coil support and clamps,TBD,Nonmagnetic high-strength alloy or composite,ADAPT,Preserves magnetic alignment,Candidate,IX-Vibe modal control,Joint coil-support optimization and FEA
FIS-007,Active correction,Planar trim-coil cassette,24,Individually driven planar coils,NEW,Corrects measured error harmonics,Low-authority architecture,IX-Vibe targeted-mode translation,CAD-linked Biot-Savart response
FIS-008,Active correction,Trim-coil conductor,24 circuits,Cu-stabilized REBCO or qualified copper depending field and temperature,NEW,Active correction field source,Candidate,AHIS actuator authority,Electromagnetic and cryogenic trade study
FIS-009,Active correction,Bipolar current supply,24 channels,Four-quadrant regulated power electronics,NEW,Commands bounded harmonic corrections,Candidate,IX-Breath resource gate,Efficiency and fault testing
FIS-010,Active correction,Current transducer,24 plus spares,DCCT or radiation-qualified equivalent,NEW,Closes current-control loop,Candidate,AHIS observability,Radiation and calibration testing
FIS-011,Active correction,Energy extraction circuit,24 channels,Dump resistor and isolated switch,NEW,Removes trim-coil stored energy,Candidate,IX-Breath safe hold,Quench validation
FIS-012,Active correction,Quench detector,24 plus redundant,Radiation-qualified differential-voltage system,NEW,Blocks unsafe correction,Candidate,AHIS fault detection,False-positive and latency tests
