ID,System,Item,Quantity_or_basis,Material_or_technology,Disposition,Direct_confinement_role,Authority,Qualification_required
DBI-001,Inner stack,Segmented plasma-facing armor,TBD by CAD,Qualified tungsten baseline,KEEP,None,Candidate,High-heat-flux erosion joining and neutron lifetime
DBI-002,Inner stack,Long-fiber Wf-W witness coupon,At least one replaceable coupon per material campaign,Long-fiber tungsten-reinforced tungsten,DEFER,None,Research candidate,Fusion-neutron and cyclic heat-flux qualification
DBI-003,Inner stack,Armor-to-structure transition,TBD by FEA,Functionally graded W-to-RAFM candidate,NEW,None,Low-authority candidate,Joining thermal fatigue irradiation and fracture qualification
DBI-004,Inner stack,Helium-cooled first-wall structure,TBD by CAD,ODS-Eurofer or qualified RAFM steel,KEEP,None,Reference candidate,Pressure boundary creep fatigue and code qualification
DBI-005,Inner stack,First-wall helium channels,TBD by CFD,RAFM microchannels and high-pressure helium,KEEP,None,Candidate,CFD pressure-drop leak and heat-transfer validation
DBI-006,Breeding blanket,Breeder and neutron multiplier,TBD by neutronics,Enriched PbLi,KEEP,None,Reference candidate,TBR MHD tritium corrosion and safety closure
DBI-007,Breeding blanket,Blanket cassette structure,24 sectorized families,RAFM or ODS-Eurofer,KEEP,None,Candidate,Structural and neutron lifetime qualification
DBI-008,Breeding blanket,Flow-channel insert,TBD by MHD model,SiC composite or alumina electrical barrier,KEEP,None,Candidate,PbLi compatibility irradiation hermeticity and MHD tests
DBI-009,Vacuum boundary,Inner vessel skin,TBD by structural design,316LN-class nuclear stainless or qualified low-activation alternative,KEEP,None,Candidate,Electromagnetic load weld and irradiation qualification
DBI-010,Vacuum boundary,Inter-wall ribs and spacers,TBD by structural design,Qualified stainless or hybrid nonmagnetic structure,KEEP,None,Candidate,Buckling fatigue and field-perturbation analysis
DBI-011,Vacuum boundary,Outer vessel skin,TBD by structural design,316LN-class nuclear stainless,KEEP,None,Candidate,Leak-before-break and weld qualification
DBI-012,Vacuum boundary,Evacuated monitored interspace,One continuous volume with 24 isolatable monitoring zones,Vacuum plumbing and helium leak-test ports,NEW,None,Architecture candidate,Leak sensitivity conductance and isolation tests
DBI-013,Neutron shield,Inner high-density shield,TBD by OpenMC,Tungsten carbide,KEEP,None,Candidate,Full 3-D neutronics heating stress and activation
DBI-014,Neutron shield,Absorber layer,TBD by OpenMC,Boron carbide,KEEP,None,Candidate,Full 3-D neutronics and joining qualification
DBI-015,Neutron shield,Local magnet-adjacent hydride option,Only where OpenMC promotes it,HfH1.7 in stainless or MgO matrix,DEFER,None,Cross-architecture candidate,Stellarator-specific neutronics thermal stability and corrosion
DBI-016,Thermal isolation,Vessel-to-magnet thermal shield,TBD by cryogenic model,Helium-cooled polished stainless panels,KEEP,None,Reference candidate,Cryogenic heat-load and radiation qualification
DBI-017,Cryogenic boundary,Cryostat,TBD by CAD,Nonmagnetic stainless and multilayer insulation,KEEP,None,Candidate,Vacuum structural and thermal qualification
DBI-018,Magnetic system,Primary confinement coils,Preserved SFR-1 basis,Cu-stabilized REBCO,KEEP,Direct field source,Reference candidate,Physical coil optimization radiation lifetime stress strain and quench
DBI-019,Magnetic system,Monitored coil support shell,TBD by coil-support co-design,High-strength nonmagnetic alloy or qualified composite,ADAPT,Preserves field geometry indirectly,Candidate,Coupled electromagnetic structural and modal FEA
DBI-020,Inner AHIS,Localized temperature sensors,384 elements at 192 locations across lanes A and B,Mineral-insulated thermocouple or qualified equivalent,NEW,None,Architecture count,Radiation drift response time calibration and feedthrough tests
DBI-021,Inner AHIS,Localized first-wall strain sensors,384 elements at 192 locations across lanes A and B,All-metal packaged or radiation-qualified optical strain sensor,NEW,None,Architecture count,Temperature compensation irradiation bonding and calibration
DBI-022,Inner AHIS,Sector magnetic flux loops,48 elements across 24 sectors and two lanes,Mineral-insulated conductor with ceramic feedthrough,NEW,Measures disturbance for field correction,Candidate,Magnetic response radiation and vacuum qualification
DBI-023,Inner AHIS,Sector coolant-state channels,48 redundant channel groups,Pressure flow temperature and differential-pressure instrumentation,NEW,None,Candidate,Helium leak response radiation and calibration
DBI-024,Inner AHIS,Protected inner feedthrough assemblies,48 dual-barrier groups,Double-seal ceramic-to-metal feedthrough with monitored interspace,NEW,None,Candidate,Helium leak high-voltage thermal-cycle and neutron qualification
DBI-025,Inner AHIS,Local signal conditioning,TBD by radiation map,Radiation-tolerant analog front ends outside highest-dose region,NEW,None,Candidate,Dose noise drift latency and failure-mode qualification
DBI-026,Inner AHIS,Lane A acquisition network,One independent network per four-field-period architecture,Diverse deterministic acquisition and isolated power,NEW,None,Candidate,Hardware-in-loop timing and common-cause analysis
DBI-027,Inner AHIS,Lane B acquisition network,One diverse independent network per four-field-period architecture,Diverse deterministic acquisition and isolated power,NEW,None,Candidate,Hardware-in-loop timing and common-cause analysis
DBI-028,Outer AHIS,Localized vessel and support strain sensors,384 elements at 192 locations across lanes A and B,Radiation-qualified optical strain sensing,NEW,None,Architecture count,Irradiation temperature compensation attachment and calibration
DBI-029,Outer AHIS,Localized alignment displacement sensors,384 elements at 192 locations across lanes A and B,Optical interferometric or qualified inductive displacement sensing,NEW,Preserves field geometry indirectly,Architecture count,Magnetic compatibility radiation calibration and line-of-sight tests
DBI-030,Outer AHIS,Sector vibration channels,48 elements across 24 sectors and two lanes,Fiber-optic or radiation-isolated accelerometry,NEW,None,Candidate,Measured FRF placement bandwidth and radiation qualification
DBI-031,Outer AHIS,Interspace pressure and leak channels,48 elements across 24 sectors and two lanes,Vacuum pressure and helium mass-spectrometry interfaces,NEW,None,Candidate,Minimum detectable leak latency and false-alarm tests
DBI-032,Outer AHIS,Independent hard-vacuum channels,8 channels at two per field period,Diverse hardwired vacuum instruments,NEW,None,Architecture count,Independent trip validation
DBI-033,Outer AHIS,Neutron and gamma dosimetry,At least one calibrated package per sector,Passive and active radiation dosimeters,NEW,None,Candidate,Dose-to-damage correlation and calibration
DBI-034,Outer AHIS,Absolute alignment fiducials,TBD by metrology plan,Remote optical and kinematic reference targets,NEW,Preserves field geometry indirectly,Candidate,Radiation stability remote visibility and calibration
DBI-035,Outer AHIS,Periodic guided-wave NDE ports,At least one accessible path per replaceable sector,Remote laser or qualified ultrasonic inspection interface,NEW,None,Research candidate,Crack sensitivity baseline drift and inspection coverage
DBI-036,Outer AHIS,Port-based thermal imaging,TBD by optical access,Radiation-hard optics with remotely replaceable detectors,DEFER,None,Research candidate,Calibration deposition neutron damage and sightline protection
DBI-037,Control,State estimator lane A,One deterministic instance,Validated confidence-aware estimator,ADAPT,None,AHIS translation,Formal requirements calibration and fault injection
DBI-038,Control,State estimator lane B,One diverse deterministic instance,Diverse validated estimator,ADAPT,None,AHIS translation,Independence and common-cause analysis
DBI-039,Control,Independent hard watchdog,Two diverse hard channels,Safety PLC FPGA or hardwired protection,ADAPT,None,IX-Breath translation,Formal verification latency and independence
DBI-040,Control,First-wall helium isolation valves,Two isolation boundaries per sector where hydraulic topology permits,Fast qualified helium valves,NEW,None,Candidate,Leak isolation pressure loss radiation and fail-position tests
DBI-041,Control,PbLi sector isolation and drain system,TBD by blanket topology,High-temperature compatible valves drain tank and freeze protection,NEW,None,Candidate,MHD corrosion tritium and loss-of-power tests
DBI-042,Control,Passive hard shutdown path,At least one diverse path per field period,De-energized-to-safe interlock architecture,NEW,None,Candidate,Loss-of-power and common-cause testing
DBI-043,Control,SFR-3 active-trim interface,24 bounded command channels,Existing SFR-3 trim-coil control,ADAPT,Direct correction field source,Low-authority link,CAD-linked response equilibrium and island validation
DBI-044,Control,Primary and trim quench interface,All superconducting circuits,Diverse quench detection and energy extraction,KEEP,None,Candidate,Integrated quench and fault-propagation testing
DBI-045,Control,Evidence recorder,Two independent recorders,Time-synchronized write-once configuration and telemetry,ADAPT,None,AHIS assurance,Timing cybersecurity calibration and traceability
DBI-046,Control,Protected control power,Independent UPS and passive trip energy,Qualified batteries capacitors or flywheel outside radiation zone,NEW,None,Candidate,Seismic fire radiation and endurance qualification
DBI-047,Maintenance,Replaceable wall and blanket cassette,24 service sectors aligned with control sectors,Remote-handled RAFM and shield modules,NEW,None,Candidate,Activation remote handling alignment and replacement demonstration
DBI-048,Maintenance,Kinematic remote-handling interface,One standardized interface family,Nonmagnetic precision features and robotic tooling,NEW,Preserves field geometry indirectly,Candidate,Repeatable alignment hot-cell and contamination testing
DBI-049,Maintenance,Periodic NDE tooling,One remote tool family plus spares,Laser ultrasonics eddy-current or qualified multi-method inspection,NEW,None,Candidate,Probability-of-detection campaign on representative irradiated flaws
DBI-050,Maintenance,Sensor calibration spool and reference standards,One set per sensor technology,Traceable thermal strain vacuum flow and magnetic standards,NEW,None,Candidate,Calibration interval and drift model
DBI-051,Maintenance,Material witness coupons,One monitored set per sector family,W RAFM joint SiC coating and sensor attachment coupons,NEW,None,Candidate,Exposure correlation and destructive post-irradiation examination
DBI-052,Maintenance,Helium leak-test ports,At least two per isolatable interspace zone,Double-valved qualified vacuum ports,NEW,None,Candidate,Factory and in-service sensitivity testing
DBI-053,Safety,Helium purge and recovery,TBD by inventory,Closed recovery train with monitored isolation,KEEP,None,Candidate,Loss-of-coolant and confinement analysis
DBI-054,Safety,Tritium and radioactive inventory monitors,Diverse monitors at vacuum coolant and interspace boundaries,Ionization proportional or optical methods as qualified,KEEP,None,Candidate,Cross-sensitivity calibration and safety classification
DBI-055,Rejected inner sensor,PVDF film directly behind plasma-facing armor,0,Unqualified polymer piezoelectric film,REJECT,None,No credit,Neutron temperature vacuum outgassing and lifetime incompatible until proven
DBI-056,Rejected wall fluid,PressureX shear-thickening layer inside first wall,0,Shear-thickening fluid,REJECT,None,No credit,Not compatible with plasma-facing heat neutron and vacuum environment
DBI-057,Rejected actuator,Mechanical inward-pressure actuator,0,Hydraulic pneumatic or bellows compression,REJECT,None,No credit,Cannot chase plasma dynamics or restore magnetic surfaces
DBI-058,Alternate wall stack,Water-cooled W-Cu-CuCrZr branch,One retained comparison,Pressurized water W-Cu FGM and CuCrZr,DEFER,None,Low-authority comparison,Water-PbLi accident integration copper lifetime and 3-D design
DBI-059,Alternate wall stack,High-temperature W-SiCf-SiC branch,One retained comparison,Helium-cooled SiCf-SiC structure,DEFER,None,Low-authority comparison,Joining hermeticity code path irradiation and manufacturing maturity
DBI-060,Alternate armor,Full Wf-W armor deployment,0 baseline deployment,Long-fiber tungsten-reinforced tungsten,DEFER,None,Research candidate,Reactor-scale joining erosion tritium and neutron lifetime
DBI-061,Separate edge branch,Liquid-lithium surface layer,0 baseline deployment,Controlled local lithium divertor cassette,SEPARATE,None,Experimental branch,Vapor MHD corrosion impurity tritium and exhaust tests
DBI-062,Rejected armor claim,Diamond confinement liner,0,Diamond or CVD diamond,REJECT,None,No credit,May only return as an independently qualified PFC coating
DBI-063,Field co-design,Ferromagnetic material representation,Every RAFM and shield CAD volume,Saturated dipole or validated finite-element model,NEW,Preserves field geometry indirectly,Candidate,CAD-linked validation and differentiable coil correction
DBI-064,Facility boundary,Secondary building confinement and filtered ventilation,One facility system,Reinforced low-activation-compatible structure and filtered detritiation ventilation,KEEP,None,Plant safety candidate,Integrated source-term fire seismic and licensing analysis
